DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
138,39.67,26.5,8.36,6.61
138,31.07,19.0,6.0,5.15
138,18.36,14.5,3.81,3.06
138,13.57,11.0,3.11,1.77
138,31.56,25.5,8.38,5.26
138,23.14,17.0,4.91,5.34
138,16.56,13.0,3.71,2.76
138,18.36,15.0,4.22,3.06
138,13.56,10.5,2.88,2.26
138,39.96,32.5,9.59,6.66
132,21.36,17.0,5.36,3.56
132,64.74,49.0,14.13,14.94
138,17.29,12.5,2.68,3.99
138,37.7,24.5,7.56,6.28
138,31.15,18.0,6.0,6.23
138,14.16,11.0,3.22,2.36
132,76.8,71.0,27.19,5.0
138,15.35,11.5,3.3,3.05
138,18.8,16.0,4.83,2.0
138,15.36,12.0,3.53,2.56
138,13.8,12.0,3.2,1.0
138,14.16,11.0,3.18,2.36
138,41.3,36.5,11.52,4.0
138,38.68,33.33,0.03,5.05
138,16.56,13.0,3.64,2.76
132,76.1,52.0,18.7,12.68
138,15.36,11.0,3.14,2.56
138,43.27,28.5,8.1,7.21
132,71.06,52.0,17.89,8.0
138,14.14,10.5,3.24,1.84
138,16.56,12.0,3.64,2.76
132,53.16,42.5,15.34,8.86
138,14.72,11.0,2.2,1.92
132,76.1,52.0,18.38,12.68
138,15.96,11.5,3.2,2.66
138,19.75,14.0,4.03,3.95
138,17.8,14.0,3.52,2.0
1,109.12,75.5,21.09,21.82
138,36.5,22.5,6.99,6.08
138,18.96,14.0,3.77,3.16
138,17.88,12.5,3.61,3.58
138,50.31,38.5,13.29,8.06
138,15.3,11.5,3.68,2.0
138,16.56,12.0,3.56,2.76
138,17.76,13.0,3.92,2.96
138,41.9,27.0,9.0,6.98
138,13.56,9.5,2.9,2.26
138,15.18,12.0,3.24,1.38
138,15.73,12.5,3.61,1.43
138,18.96,14.0,3.78,3.16
132,81.8,68.0,26.0,12.0
138,18.36,13.5,3.35,3.06
138,18.74,14.5,4.19,2.44
132,79.28,52.0,16.93,15.86
132,24.12,17.5,5.79,4.82
132,50.3,41.0,14.43,7.5
132,27.96,21.5,7.38,4.66
132,48.5,37.5,12.13,9.7
138,13.8,10.5,2.38,2.0
132,21.36,16.5,5.42,3.56
132,17.3,14.0,4.43,2.0
132,70.7,52.0,19.68,11.78
132,62.8,41.5,14.76,20.0
138,18.36,14.0,3.83,3.06
138,14.75,11.5,3.3,2.45
